,dishes_name
0,芝士烩波士顿龙虾
1,辣炒鱿鱼
2,麻辣小龙虾
3,孜然羊排
4,"蒙古烤羊腿


"
5,蒜香包
6,清炒菊花菜
7,53度茅台
8,白饭/大碗
9,"番茄炖牛腩


"
10,豌豆薯仔猪骨汤
11,倒立蒸梭子蟹
12,葱姜炒蟹
13,芝士烩波士顿龙虾
14,豌豆薯仔猪骨汤
15,芝士烩波士顿龙虾
16,焖猪手
17,焖猪手
18,自制猪肉脯
19,香菇鸡肉粥
20,芹菜炒腰花
21,爆炒猪肝
22,辣炒鱿鱼
23,清蒸海鱼
24,小米南瓜粥
25, 北冰洋汽水 
26,露露无糖杏仁露
27,自制猪肉脯
28,水煮鱼
29,剁椒鱼头
30,葱姜炒蟹
31,大理石奶油蛋糕
32,芹菜炒腰花
33,冰糖红豆薏米粥
34,核桃葡萄干土司
35,拌土豆丝
36,清蒸海鱼
37,52度泸州老窖 
38,爆炒双丝
39,剁椒鱼头
40,谷稻小庄 
41,大蒜苋菜
42,炝炒大白菜
43,香酥两吃大虾
44,美妙绝伦之白莲花
45,倒立蒸梭子蟹
46,凉拌菠菜
47,辣炒鱿鱼
48,"独家薄荷鲜虾牛肉卷


"
49,辣炒海带丝
50,"照烧鸡腿


"
51,凉拌菠菜
52,培根花菜
53,糖醋蕃茄溜青花
54,蒜香辣花甲
55,蛋挞
56,小米南瓜粥
57,凉拌菠菜
58,南瓜枸杞小饼干
59,小米南瓜粥
60,香酥两吃大虾
61,芝士烩波士顿龙虾
62,油焖麻辣虾
63,"独家薄荷鲜虾牛肉卷


"
64,焖猪手
65,"香烤牛排


"
66,黑米恋上葡萄
67,凉拌菠菜
68,凉拌蒜蓉西兰花
69,美妙绝伦之白莲花
70,五色糯米饭(七色)
71,辣炒鱿鱼
72, 42度海之蓝
73,"香烤牛排


"
74,炝炒大白菜
75,凉拌蒜蓉西兰花
76,白饭/小碗
77,谷稻小庄 
78,木须豌豆
79,孜然羊排
80,清炒菊花菜
81,谷稻小庄 
82,冰糖红豆薏米粥
83,蒜蓉生蚝
84,啤酒鸭
85,广式虾仁肠粉
86,木须豌豆
87,白饭/小碗
88,油焖麻辣虾
89,金玉良缘
90,超人气广式肠粉
91,焖猪手
92,香辣腐乳炒虾
93,自制猪肉脯
94,清蒸蝶鱼
95,美妙绝伦之白莲花
96,炝炒大白菜
97,桂圆肉红豆八宝饭
98,谷稻小庄 
99,凉拌菠菜
100,姜葱炒花蟹
101,超人气广式肠粉
102,爆炒双丝
103,蒜蓉生蚝
104,焖猪手
105,番茄甘蓝
106,美妙绝伦之白莲花
107,凉拌萝卜丝
108,芝士烩波士顿龙虾
109,倒立蒸梭子蟹
110,谷稻小庄 
111,麻辣小龙虾
112,清蒸海鱼
113,五色糯米饭(七色)
114,南瓜枸杞小饼干
115,谷稻小庄 
116,清蒸蝶鱼
117,凉拌蒜蓉西兰花
118,快炒黄鳝
119,百威啤酒罐装
120,青岛啤酒罐装
121,特醇嘉士伯啤酒罐装
122,白胡椒胡萝卜羊肉汤
123,"红酒土豆烧鸭腿


"
124,番茄蛋汤
125,杭椒鸡珍
126,番茄有机花菜
127,拌土豆丝
128,金玉良缘
129,白饭/大碗
130,冬瓜炒苦瓜
131,黑米恋上葡萄
132,牛尾汤
133,意文柠檬汁 
134,大理石奶油蛋糕
135,小米南瓜粥
136,芝士烩波士顿龙虾
137,爆炒鳝碌
138,"蒙古烤羊腿


"
139,豌豆薯仔猪骨汤
140,葱姜炒蟹
141,牛尾汤
142,花蛤蒸蛋
143,焖猪手
144,白饭/小碗
145,南瓜芝士包
146,爆炒猪肝
147,白饭/大碗
148,香辣腐乳炒虾
149,香辣腐乳炒虾
150,谷稻小庄 
151,香酥两吃大虾
152,爆炒双丝
153,油焖麻辣虾
154,红酒炖羊肉
155,香菇鹌鹑蛋
156,自制猪肉脯
157,不加一滴油的酸奶蛋糕
158,芹菜炒腰花
